ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-10-29 10:15:00,6019.4129917417895,1430.3000481597546,4735.120235927244,6019.4129917417895,6019.4129917417895,-2966.862387038526,-2966.862387038526,-2966.862387038526,-2966.862387038526,-2966.862387038526,-2966.862387038526,0.0,0.0,0.0,3052.5506047032636
2018-10-30 08:00:00,5839.711802464993,2010.0089718030613,5312.961832731108,5839.711802464993,5839.711802464993,-2280.6282477380096,-2280.6282477380096,-2280.6282477380096,-2280.6282477380096,-2280.6282477380096,-2280.6282477380096,0.0,0.0,0.0,3559.083554726983
2018-10-30 08:05:00,5839.02329216125,1553.601162492674,4895.678908052051,5839.02329216125,5839.02329216125,-2589.7060846273394,-2589.7060846273394,-2589.7060846273394,-2589.7060846273394,-2589.7060846273394,-2589.7060846273394,0.0,0.0,0.0,3249.3172075339103
2018-10-30 08:10:00,5838.334781856998,1261.30310790749,4535.780693683054,5838.334781856998,5838.334781856998,-2822.0823043629994,-2822.0823043629994,-2822.0823043629994,-2822.0823043629994,-2822.0823043629994,-2822.0823043629994,0.0,0.0,0.0,3016.252477493999
2018-10-30 08:30:00,5835.580740639452,1202.6493696003213,4362.310224332931,5835.580740639452,5835.580740639452,-3119.9683950433982,-3119.9683950433982,-3119.9683950433982,-3119.9683950433982,-3119.9683950433982,-3119.9683950433982,0.0,0.0,0.0,2715.612345596054
2018-10-30 08:35:00,5834.892230335066,1034.2177597977527,4362.25055139191,5834.892230335066,5834.892230335066,-3072.685083251467,-3072.685083251467,-3072.685083251467,-3072.685083251467,-3072.685083251467,-3072.685083251467,0.0,0.0,0.0,2762.2071470835995
2018-10-30 08:40:00,5834.203720030534,1144.860103051659,4602.2595750458,5834.203720030534,5834.203720030534,-2991.633044560269,-2991.633044560269,-2991.633044560269,-2991.633044560269,-2991.633044560269,-2991.633044560269,0.0,0.0,0.0,2842.570675470265
2018-10-30 08:45:00,5833.5152097262235,1252.329826992214,4541.341689961892,5833.5152097262235,5833.5152097262235,-2884.292089060039,-2884.292089060039,-2884.292089060039,-2884.292089060039,-2884.292089060039,-2884.292089060039,0.0,0.0,0.0,2949.2231206661845
2018-10-30 09:00:00,5831.449678813288,1723.6524054568647,4970.543883858045,5831.449678813288,5831.449678813288,-2477.1189169431755,-2477.1189169431755,-2477.1189169431755,-2477.1189169431755,-2477.1189169431755,-2477.1189169431755,0.0,0.0,0.0,3354.330761870113
2018-10-30 09:05:00,5830.761168509488,1948.486746015546,5166.141903106663,5830.761168509488,5830.761168509488,-2335.953941546394,-2335.953941546394,-2335.953941546394,-2335.953941546394,-2335.953941546394,-2335.953941546394,0.0,0.0,0.0,3494.807226963094
2018-10-30 09:10:00,5830.072658205688,1957.22253268158,5268.94898124989,5830.072658205688,5830.072658205688,-2202.673651006607,-2202.673651006607,-2202.673651006607,-2202.673651006607,-2202.673651006607,-2202.673651006607,0.0,0.0,0.0,3627.3990071990806
2018-10-30 09:15:00,5829.384147901887,2043.3336963801778,5336.4617274228685,5829.384147901887,5829.384147901887,-2082.988414888099,-2082.988414888099,-2082.988414888099,-2082.988414888099,-2082.988414888099,-2082.988414888099,0.0,0.0,0.0,3746.3957330137882
2018-10-30 09:30:00,5827.318616990487,2322.521966871306,5531.049717808165,5827.318616990487,5827.318616990487,-1854.598073530253,-1854.598073530253,-1854.598073530253,-1854.598073530253,-1854.598073530253,-1854.598073530253,0.0,0.0,0.0,3972.720543460234
2018-10-30 09:35:00,5826.630106686686,2445.112144752002,5699.920747420712,5826.630106686686,5826.630106686686,-1835.400686205698,-1835.400686205698,-1835.400686205698,-1835.400686205698,-1835.400686205698,-1835.400686205698,0.0,0.0,0.0,3991.229420480988
2018-10-30 09:40:00,5825.941596382886,2390.088452996716,5610.553033512802,5825.941596382886,5825.941596382886,-1849.7352163160142,-1849.7352163160142,-1849.7352163160142,-1849.7352163160142,-1849.7352163160142,-1849.7352163160142,0.0,0.0,0.0,3976.206380066872
2018-10-30 09:45:00,5825.253086079086,2302.1296441130035,5666.172256806532,5825.253086079086,5825.253086079086,-1899.6080289522595,-1899.6080289522595,-1899.6080289522595,-1899.6080289522595,-1899.6080289522595,-1899.6080289522595,0.0,0.0,0.0,3925.645057126826
2018-10-30 10:00:00,5823.187555167685,1989.3189798405238,5190.005863828622,5823.187555167685,5823.187555167685,-2271.7469468421523,-2271.7469468421523,-2271.7469468421523,-2271.7469468421523,-2271.7469468421523,-2271.7469468421523,0.0,0.0,0.0,3551.4406083255326
